,Date,NYA
623,2012-06-22,7616.58984375
624,2012-06-25,7491.8701171875
625,2012-06-26,7527.08984375
626,2012-06-27,7598.0498046875
627,2012-06-28,7597.52001953125
628,2012-06-29,7801.83984375
629,2012-07-02,7832.22998046875
630,2012-07-03,7901.669921875
631,2012-07-05,7837.77978515625
632,2012-07-06,7756.6201171875
633,2012-07-09,7736.33984375
634,2012-07-10,7667.56982421875
635,2012-07-11,7685.3701171875
636,2012-07-12,7638.64990234375
637,2012-07-13,7758.68017578125
638,2012-07-16,7743.02001953125
639,2012-07-17,7794.77001953125
640,2012-07-18,7831.08984375
641,2012-07-19,7849.75
642,2012-07-20,7759.58984375
643,2012-07-23,7670.5400390625
644,2012-07-24,7590.6201171875
645,2012-07-25,7607.56005859375
646,2012-07-26,7754.509765625
647,2012-07-27,7912.169921875
648,2012-07-30,7911.0498046875
649,2012-07-31,7863.93994140625
650,2012-08-01,7840.77001953125
651,2012-08-02,7765.60009765625
652,2012-08-03,7939.5400390625
653,2012-08-06,7964.10009765625
654,2012-08-07,8017.7099609375
655,2012-08-08,8018.240234375
656,2012-08-09,8025.009765625
657,2012-08-10,8044.759765625
658,2012-08-13,8018.64013671875
659,2012-08-14,8019.52978515625
660,2012-08-15,8029.009765625
661,2012-08-16,8090.0
662,2012-08-17,8102.080078125
663,2012-08-20,8094.330078125
664,2012-08-21,8082.68017578125
665,2012-08-22,8074.22998046875
666,2012-08-23,8011.43994140625
667,2012-08-24,8047.8701171875
668,2012-08-27,8036.25
669,2012-08-28,8033.85009765625
670,2012-08-29,8031.64990234375
671,2012-08-30,7966.240234375
672,2012-08-31,8014.93017578125
673,2012-09-04,8002.31005859375
674,2012-09-05,7992.009765625
675,2012-09-06,8160.56005859375
676,2012-09-07,8234.509765625
677,2012-09-10,8192.400390625
678,2012-09-11,8246.150390625
679,2012-09-12,8267.3203125
680,2012-09-13,8407.0302734375
681,2012-09-14,8458.8798828125
682,2012-09-17,8408.9697265625
683,2012-09-18,8387.4404296875
684,2012-09-19,8400.490234375
685,2012-09-20,8372.91015625
686,2012-09-21,8377.509765625
687,2012-09-24,8356.5595703125
688,2012-09-25,8274.7802734375
689,2012-09-26,8221.3203125
690,2012-09-27,8303.740234375
691,2012-09-28,8251.0
692,2012-10-01,8284.3701171875
693,2012-10-02,8295.1103515625
694,2012-10-03,8297.5
695,2012-10-04,8376.33984375
696,2012-10-05,8384.0703125
697,2012-10-08,8359.1201171875
698,2012-10-09,8279.1103515625
699,2012-10-10,8229.169921875
700,2012-10-11,8256.58984375
701,2012-10-12,8227.080078125
702,2012-10-15,8293.5
703,2012-10-16,8386.4697265625
704,2012-10-17,8446.51953125
705,2012-10-18,8442.8203125
