"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"KN","Knowles Corporation","16.11","1474795282.41","n/a","2014","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/kn",
"KTB","Kontoor Brands, Inc.","39.29","2237352391.04","n/a","2019","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/ktb",
"KOSS","Koss Corporation","1.4607","10816236.6417","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/koss",
"LW","Lamb Weston Holdings, Inc.","94.45","13798399978.4","n/a","2016","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/lw",
"LANC","Lancaster Colony Corporation","155.01","4264790130","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/lanc",
"LNDC","Landec Corporation","11.55","336832453.65","n/a","1996","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/lndc",
"LEVI","Levi Strauss & Co","19.35","7626146999.4","n/a","2019","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/levi",
"LWAY","Lifeway Foods, Inc.","2.42","38018052.38","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/lway",
"LMNR","Limoneira Co","20.85","371965146.75","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/lmnr",
"LULU","lululemon athletica inc.","243.51","31728112803.57","n/a","2007","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/lulu",
"MAT","Mattel, Inc.","14.08","4881754099.2","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/mat",
"MKC","McCormick & Company, Incorporated","163.11","21679555890.54","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/mkc",
"MKC.V","McCormick & Company, Incorporated","n/a","0","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/mkc.v",
"MED","MEDIFAST INC","100.59","1168390168.89","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/med",
"MGPI","MGP Ingredients, Inc.","34.26","583347178.38","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/mgpi",
"TAP","Molson Coors Beverage Company","57.78","12501326561.76","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/tap",
"MDLZ","Mondelez International, Inc.","58.66","84460097602.86","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/mdlz",
"MNST","Monster Beverage Corporation","68.905","37048956436.02","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/mnst",
"MOV","Movado Group Inc.","16.41","377725297.95","n/a","n/a","Consumer Non-Durables","Consumer Specialties","https://old.nasdaq.com/symbol/mov",
"MYE","Myers Industries, Inc.","16.62","590342416.62","n/a","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/mye",
"NAKD","Naked Brand Group Limited","0.64","2698778.24","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/nakd",
"FIZZ","National Beverage Corp.","42.85","1995206510.15","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/fizz",
"NLS","Nautilus Group, Inc. (The)","3.17","94238777.57","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/nls",
"NBEV","New Age Beverages Corporation","1.92","150516412.8","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/nbev",
"NWL","Newell Brands Inc.","20.06","8493404000","n/a","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/nwl",
"NKE","Nike, Inc.","99.44","154865148049.92","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/nke",
"NOMD","Nomad Foods Limited","19.86","3991145655.66","n/a","2016","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/nomd",
"SEED","Origin Agritech Limited","6.09","19465125.96","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/seed",
"OXM","Oxford Industries, Inc.","69.64","1186665878.56","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/oxm",
"PEP","Pepsico, Inc.","145.37","202709065085.06","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/pep",
